event_time,actor,action,target,outcome
2024-06-01T00:00:00Z,u-1041,object.read,bucket/curated,error
2024-06-01T00:00:01Z,svc-sync,session.login,repo/alpha,allow
2024-06-01T00:00:02Z,svc-batch,object.read,repo/beta,deny
2024-06-01T00:00:03Z,u-9013,session.login,bucket/curated,allow
2024-06-01T00:00:04Z,svc-batch,session.login,bucket/curated,allow
2024-06-01T00:00:05Z,svc-batch,session.login,repo/beta,deny
2024-06-01T00:00:06Z,svc-sync,session.login,bucket/curated,deny
2024-06-01T00:00:07Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:00:08Z,u-1041,object.read,repo/alpha,allow
2024-06-01T00:00:09Z,u-1041,object.read,repo/alpha,deny
2024-06-01T00:00:10Z,svc-batch,session.login,repo/alpha,allow
2024-06-01T00:00:11Z,u-1041,session.login,bucket/curated,deny
2024-06-01T00:00:12Z,u-9013,object.read,bucket/curated,allow
2024-06-01T00:00:13Z,u-1041,object.read,repo/beta,allow
2024-06-01T00:00:14Z,svc-sync,session.login,bucket/raw,allow
2024-06-01T00:00:15Z,u-9013,object.read,bucket/raw,allow
2024-06-01T00:00:16Z,svc-sync,session.login,bucket/curated,allow
2024-06-01T00:00:17Z,u-1041,session.login,bucket/curated,allow
2024-06-01T00:00:18Z,svc-batch,object.read,bucket/raw,allow
2024-06-01T00:00:19Z,u-2277,object.read,bucket/curated,deny
2024-06-01T00:00:20Z,svc-batch,object.read,bucket/raw,allow
2024-06-01T00:00:21Z,svc-batch,object.read,repo/alpha,deny
2024-06-01T00:00:22Z,svc-sync,object.read,bucket/curated,deny
2024-06-01T00:00:23Z,u-9013,object.read,bucket/raw,deny
2024-06-01T00:00:24Z,u-2277,session.login,repo/beta,allow
2024-06-01T00:00:25Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:00:26Z,u-1041,object.read,bucket/curated,allow
2024-06-01T00:00:27Z,svc-batch,object.read,repo/beta,allow
2024-06-01T00:00:28Z,svc-sync,object.read,bucket/raw,allow
2024-06-01T00:00:29Z,svc-sync,session.login,bucket/raw,allow
2024-06-01T00:00:30Z,u-9013,object.read,repo/beta,allow
2024-06-01T00:00:31Z,u-1041,session.login,repo/beta,allow
2024-06-01T00:00:32Z,u-1041,session.login,repo/alpha,deny
2024-06-01T00:00:33Z,u-1041,object.read,bucket/raw,deny
2024-06-01T00:00:34Z,u-1041,object.read,bucket/curated,allow
2024-06-01T00:00:35Z,svc-sync,object.read,bucket/raw,deny
2024-06-01T00:00:36Z,svc-sync,session.login,repo/alpha,deny
2024-06-01T00:00:37Z,svc-sync,object.read,bucket/curated,deny
2024-06-01T00:00:38Z,u-9013,object.read,repo/alpha,allow
2024-06-01T00:00:39Z,u-9013,object.read,repo/alpha,deny
2024-06-01T00:00:40Z,u-1041,session.login,bucket/curated,allow
2024-06-01T00:00:41Z,u-2277,session.login,repo/alpha,allow
2024-06-01T00:00:42Z,svc-sync,session.login,repo/beta,allow
2024-06-01T00:00:43Z,u-2277,role.revoke,repo/alpha,allow
2024-06-01T00:00:44Z,svc-sync,session.login,bucket/curated,allow
2024-06-01T00:00:45Z,u-2277,session.login,bucket/raw,deny
2024-06-01T00:00:46Z,u-9013,role.revoke,repo/alpha,allow
2024-06-01T00:00:47Z,u-9013,session.login,bucket/curated,allow
2024-06-01T00:00:48Z,svc-batch,object.read,repo/beta,allow
2024-06-01T00:00:49Z,u-2277,session.login,bucket/raw,deny
2024-06-01T00:00:50Z,u-1041,object.read,repo/alpha,deny
2024-06-01T00:00:51Z,u-2277,session.login,repo/beta,deny
2024-06-01T00:00:52Z,svc-batch,role.revoke,bucket/raw,deny
2024-06-01T00:00:53Z,u-2277,role.revoke,bucket/raw,allow
2024-06-01T00:00:54Z,u-1041,session.login,bucket/raw,allow
2024-06-01T00:00:55Z,svc-sync,role.revoke,repo/beta,allow
2024-06-01T00:00:56Z,u-1041,session.login,repo/beta,allow
2024-06-01T00:00:57Z,u-2277,role.revoke,repo/alpha,allow
2024-06-01T00:00:58Z,u-9013,session.login,bucket/raw,allow
2024-06-01T00:00:59Z,svc-sync,session.login,bucket/raw,deny
2024-06-01T00:01:00Z,u-2277,object.read,bucket/raw,deny
2024-06-01T00:01:01Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:01:02Z,u-2277,object.read,repo/beta,allow
2024-06-01T00:01:03Z,svc-sync,object.read,repo/alpha,deny
2024-06-01T00:01:04Z,u-2277,object.read,repo/alpha,deny
2024-06-01T00:01:05Z,u-9013,role.revoke,repo/beta,allow
2024-06-01T00:01:06Z,u-9013,object.read,bucket/raw,allow
2024-06-01T00:01:07Z,u-9013,session.login,bucket/curated,deny
2024-06-01T00:01:08Z,svc-batch,object.read,repo/beta,deny
2024-06-01T00:01:09Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:01:10Z,u-1041,role.revoke,bucket/curated,allow
2024-06-01T00:01:11Z,u-1041,role.revoke,repo/beta,allow
2024-06-01T00:01:12Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:01:13Z,u-1041,object.read,repo/alpha,allow
2024-06-01T00:01:14Z,u-2277,object.read,repo/beta,allow
2024-06-01T00:01:15Z,u-2277,role.revoke,bucket/curated,allow
2024-06-01T00:01:16Z,u-2277,session.login,bucket/curated,allow
2024-06-01T00:01:17Z,svc-sync,role.revoke,bucket/curated,deny
2024-06-01T00:01:18Z,svc-sync,role.revoke,repo/beta,allow
2024-06-01T00:01:19Z,svc-batch,role.revoke,bucket/curated,deny
2024-06-01T00:01:20Z,svc-batch,session.login,repo/beta,deny
2024-06-01T00:01:21Z,u-9013,session.login,repo/alpha,allow
2024-06-01T00:01:22Z,svc-sync,session.login,bucket/curated,allow
2024-06-01T00:01:23Z,svc-batch,session.login,repo/beta,deny
2024-06-01T00:01:24Z,svc-batch,object.read,repo/alpha,allow
2024-06-01T00:01:25Z,svc-batch,key.rotate,repo/alpha,deny
2024-06-01T00:01:26Z,svc-sync,key.rotate,repo/beta,allow
2024-06-01T00:01:27Z,svc-sync,role.revoke,bucket/curated,allow
2024-06-01T00:01:28Z,svc-sync,object.read,bucket/raw,deny
2024-06-01T00:01:29Z,u-1041,object.read,bucket/curated,allow
2024-06-01T00:01:30Z,u-9013,session.login,bucket/raw,allow
2024-06-01T00:01:31Z,u-1041,session.login,bucket/curated,deny
2024-06-01T00:01:32Z,u-2277,session.login,repo/alpha,allow
2024-06-01T00:01:33Z,u-2277,object.read,repo/beta,deny
2024-06-01T00:01:34Z,u-9013,role.revoke,repo/beta,allow
2024-06-01T00:01:35Z,u-9013,session.login,repo/beta,allow
2024-06-01T00:01:36Z,u-9013,object.read,bucket/curated,allow
2024-06-01T00:01:37Z,u-1041,role.revoke,bucket/raw,allow
2024-06-01T00:01:38Z,u-2277,role.revoke,repo/alpha,allow
2024-06-01T00:01:39Z,u-9013,role.revoke,bucket/curated,deny
2024-06-01T00:01:40Z,u-2277,session.login,bucket/raw,allow
2024-06-01T00:01:41Z,u-1041,session.login,repo/alpha,allow
2024-06-01T00:01:42Z,u-2277,session.login,repo/alpha,allow
2024-06-01T00:01:43Z,u-1041,object.read,bucket/curated,allow
2024-06-01T00:01:44Z,u-1041,role.revoke,bucket/curated,allow
2024-06-01T00:01:45Z,u-2277,role.revoke,repo/alpha,allow
2024-06-01T00:01:46Z,svc-batch,object.read,bucket/raw,allow
2024-06-01T00:01:47Z,svc-batch,session.login,bucket/raw,deny
2024-06-01T00:01:48Z,u-1041,session.login,repo/alpha,deny
2024-06-01T00:01:49Z,u-9013,role.revoke,repo/alpha,allow
2024-06-01T00:01:50Z,u-9013,role.revoke,bucket/raw,deny
2024-06-01T00:01:51Z,svc-sync,object.read,repo/beta,allow
2024-06-01T00:01:52Z,u-2277,session.login,repo/alpha,allow
2024-06-01T00:01:53Z,u-2277,object.read,bucket/raw,allow
2024-06-01T00:01:54Z,u-9013,object.read,repo/beta,allow
2024-06-01T00:01:55Z,svc-batch,role.revoke,bucket/raw,allow
2024-06-01T00:01:56Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:01:57Z,u-9013,key.rotate,repo/alpha,allow
2024-06-01T00:01:58Z,u-9013,key.rotate,bucket/curated,deny
2024-06-01T00:01:59Z,u-1041,role.revoke,repo/beta,deny
2024-06-01T00:02:00Z,u-1041,role.revoke,bucket/curated,allow
2024-06-01T00:02:01Z,u-1041,role.revoke,repo/alpha,allow
2024-06-01T00:02:02Z,u-2277,session.login,bucket/curated,deny
2024-06-01T00:02:03Z,svc-batch,object.read,bucket/curated,allow
2024-06-01T00:02:04Z,u-1041,role.revoke,bucket/raw,deny
2024-06-01T00:02:05Z,u-1041,session.login,repo/beta,allow
2024-06-01T00:02:06Z,svc-batch,role.revoke,bucket/raw,allow
2024-06-01T00:02:07Z,svc-sync,role.revoke,bucket/raw,allow
2024-06-01T00:02:08Z,u-2277,object.read,repo/beta,allow
2024-06-01T00:02:09Z,svc-batch,role.revoke,bucket/raw,allow
2024-06-01T00:02:10Z,u-9013,key.rotate,bucket/raw,allow
2024-06-01T00:02:11Z,svc-sync,object.read,repo/alpha,allow
2024-06-01T00:02:12Z,svc-batch,session.login,repo/beta,allow
2024-06-01T00:02:13Z,svc-batch,key.rotate,bucket/curated,deny
2024-06-01T00:02:14Z,u-2277,session.login,repo/beta,allow
2024-06-01T00:02:15Z,svc-sync,session.login,repo/beta,deny
