ts,level,service,message
2024-06-01T00:00:00Z,WARN,billing,
2024-06-01T00:00:01Z,WARN,gateway,gateway handled request 1
2024-06-01T00:00:02Z,INFO,gateway,gateway handled request 2
2024-06-01T00:00:03Z,WARN,gateway,gateway handled request 3
2024-06-01T00:00:04Z,DEBUG,billing,billing handled request 4
2024-06-01T00:00:05Z,INFO,gateway,gateway handled request 5
2024-06-01T00:00:06Z,WARN,notifier,notifier handled request 6
2024-06-01T00:00:07Z,INFO,billing,billing handled request 7
2024-06-01T00:00:08Z,INFO,notifier,notifier handled request 8
2024-06-01T00:00:09Z,INFO,gateway,gateway handled request 9
2024-06-01T00:00:10Z,INFO,gateway,gateway handled request 10
2024-06-01T00:00:11Z,DEBUG,notifier,notifier handled request 11
2024-06-01T00:00:12Z,INFO,billing,billing handled request 12
2024-06-01T00:00:13Z,INFO,billing,billing handled request 13
2024-06-01T00:00:14Z,WARN,notifier,notifier handled request 14
2024-06-01T00:00:15Z,INFO,gateway,gateway handled request 15
2024-06-01T00:00:16Z,DEBUG,search,search handled request 16
2024-06-01T00:00:17Z,DEBUG,billing,billing handled request 17
2024-06-01T00:00:18Z,INFO,billing,billing handled request 18
2024-06-01T00:00:19Z,WARN,gateway,gateway handled request 19
2024-06-01T00:00:20Z,DEBUG,gateway,gateway handled request 20
2024-06-01T00:00:21Z,DEBUG,gateway,gateway handled request 21
2024-06-01T00:00:22Z,DEBUG,billing,billing handled request 22
2024-06-01T00:00:23Z,WARN,notifier,notifier handled request 23
2024-06-01T00:00:24Z,WARN,notifier,notifier handled request 24
2024-06-01T00:00:25Z,DEBUG,notifier,notifier handled request 25
2024-06-01T00:00:26Z,WARN,search,search handled request 26
2024-06-01T00:00:27Z,WARN,billing,billing handled request 27
2024-06-01T00:00:28Z,WARN,gateway,gateway handled request 28
2024-06-01T00:00:29Z,DEBUG,notifier,notifier handled request 29
2024-06-01T00:00:30Z,DEBUG,notifier,notifier handled request 30
2024-06-01T00:00:31Z,DEBUG,gateway,gateway handled request 31
2024-06-01T00:00:32Z,INFO,notifier,notifier handled request 32
2024-06-01T00:00:33Z,WARN,search,search handled request 33
2024-06-01T00:00:34Z,WARN,notifier,notifier handled request 34
2024-06-01T00:00:35Z,ERROR,gateway,gateway handled request 35
2024-06-01T00:00:36Z,INFO,search,search handled request 36
2024-06-01T00:00:37Z,DEBUG,search,search handled request 37
2024-06-01T00:00:38Z,ERROR,notifier,notifier handled request 38
2024-06-01T00:00:39Z,INFO,gateway,gateway handled request 39
2024-06-01T00:00:40Z,DEBUG,notifier,notifier handled request 40
2024-06-01T00:00:41Z,INFO,gateway,gateway handled request 41
2024-06-01T00:00:42Z,DEBUG,notifier,notifier handled request 42
2024-06-01T00:00:43Z,DEBUG,notifier,notifier handled request 43
2024-06-01T00:00:44Z,DEBUG,gateway,gateway handled request 44
2024-06-01T00:00:45Z,ERROR,search,search handled request 45
2024-06-01T00:00:46Z,WARN,gateway,gateway handled request 46
2024-06-01T00:00:47Z,ERROR,gateway,gateway handled request 47
2024-06-01T00:00:48Z,WARN,search,search handled request 48
2024-06-01T00:00:49Z,WARN,billing,billing handled request 49
2024-06-01T00:00:50Z,ERROR,notifier,notifier handled request 50
2024-06-01T00:00:51Z,ERROR,gateway,gateway handled request 51
2024-06-01T00:00:52Z,WARN,notifier,notifier handled request 52
2024-06-01T00:00:53Z,ERROR,search,search handled request 53
2024-06-01T00:00:54Z,WARN,notifier,notifier handled request 54
2024-06-01T00:00:55Z,DEBUG,notifier,notifier handled request 55
2024-06-01T00:00:56Z,DEBUG,notifier,notifier handled request 56
2024-06-01T00:00:57Z,WARN,billing,billing handled request 57
2024-06-01T00:00:58Z,INFO,billing,billing handled request 58
2024-06-01T00:00:59Z,WARN,billing,billing handled request 59
2024-06-01T00:01:00Z,WARN,gateway,gateway handled request 60
2024-06-01T00:01:01Z,ERROR,billing,billing handled request 61
2024-06-01T00:01:02Z,DEBUG,search,search handled request 62
2024-06-01T00:01:03Z,INFO,billing,billing handled request 63
2024-06-01T00:01:04Z,ERROR,search,search handled request 64
2024-06-01T00:01:05Z,CRITICAL,search,search handled request 65
2024-06-01T00:01:06Z,WARN,gateway,gateway handled request 66
2024-06-01T00:01:07Z,ERROR,notifier,notifier handled request 67
2024-06-01T00:01:08Z,ERROR,notifier,notifier handled request 68
2024-06-01T00:01:09Z,ERROR,gateway,gateway handled request 69
2024-06-01T00:01:10Z,ERROR,notifier,notifier handled request 70
2024-06-01T00:01:11Z,INFO,billing,billing handled request 71
