collected_at,metric,host,value
2024-06-01T00:00:00Z,mem.pct,host-a,
2024-06-01T00:00:01Z,mem.pct,host-a,65.093
2024-06-01T00:00:02Z,cpu.pct,host-a,36.569
2024-06-01T00:00:03Z,cpu.pct,host-b,3.750
2024-06-01T00:00:04Z,mem.pct,host-a,6.986
2024-06-01T00:00:05Z,mem.pct,host-c,5.911
2024-06-01T00:00:06Z,cpu.pct,host-c,94.745
2024-06-01T00:00:07Z,cpu.pct,host-b,57.710
2024-06-01T00:00:08Z,cpu.pct,host-a,97.626
2024-06-01T00:00:09Z,cpu.pct,host-a,28.961
2024-06-01T00:00:10Z,cpu.pct,host-c,57.091
2024-06-01T00:00:11Z,cpu.pct,host-c,10.306
2024-06-01T00:00:12Z,cpu.pct,host-c,37.240
2024-06-01T00:00:13Z,cpu.pct,host-c,56.437
2024-06-01T00:00:14Z,cpu.pct,host-c,49.641
2024-06-01T00:00:15Z,mem.pct,host-b,77.723
2024-06-01T00:00:16Z,mem.pct,host-a,36.158
2024-06-01T00:00:17Z,cpu.pct,host-a,69.899
2024-06-01T00:00:18Z,cpu.pct,host-c,57.442
2024-06-01T00:00:19Z,mem.pct,host-c,87.514
2024-06-01T00:00:20Z,mem.pct,host-a,28.794
2024-06-01T00:00:21Z,cpu.pct,host-a,51.193
2024-06-01T00:00:22Z,mem.pct,host-b,15.198
2024-06-01T00:00:23Z,mem.pct,host-c,3.921
2024-06-01T00:00:24Z,cpu.pct,host-c,76.457
2024-06-01T00:00:25Z,mem.pct,host-b,34.012
2024-06-01T00:00:26Z,mem.pct,host-b,57.990
2024-06-01T00:00:27Z,cpu.pct,host-b,83.997
2024-06-01T00:00:28Z,mem.pct,host-a,69.704
2024-06-01T00:00:29Z,cpu.pct,host-b,73.116
2024-06-01T00:00:30Z,mem.pct,host-b,28.460
2024-06-01T00:00:31Z,mem.pct,host-b,2.256
2024-06-01T00:00:32Z,mem.pct,host-a,16.805
2024-06-01T00:00:33Z,mem.pct,host-b,5.895
2024-06-01T00:00:34Z,cpu.pct,host-b,73.836
2024-06-01T00:00:35Z,mem.pct,host-b,91.682
2024-06-01T00:00:36Z,cpu.pct,host-b,16.637
2024-06-01T00:00:37Z,cache.evictions,host-a,27.784
2024-06-01T00:00:38Z,mem.pct,host-b,86.398
2024-06-01T00:00:39Z,cache.evictions,host-b,41.530
2024-06-01T00:00:40Z,cache.evictions,host-a,88.419
2024-06-01T00:00:41Z,cpu.pct,host-a,8.298
2024-06-01T00:00:42Z,cpu.pct,host-a,65.852
2024-06-01T00:00:43Z,mem.pct,host-a,83.109
2024-06-01T00:00:44Z,mem.pct,host-a,28.193
2024-06-01T00:00:45Z,mem.pct,host-c,53.459
2024-06-01T00:00:46Z,cache.evictions,host-a,31.861
2024-06-01T00:00:47Z,cache.evictions,host-c,85.920
2024-06-01T00:00:48Z,cache.evictions,host-a,67.620
2024-06-01T00:00:49Z,mem.pct,host-c,89.953
2024-06-01T00:00:50Z,cache.evictions,host-b,39.238
2024-06-01T00:00:51Z,mem.pct,host-c,10.354
2024-06-01T00:00:52Z,mem.pct,host-a,6.225
2024-06-01T00:00:53Z,cpu.pct,host-a,44.063
2024-06-01T00:00:54Z,mem.pct,host-a,60.073
2024-06-01T00:00:55Z,cpu.pct,host-c,56.678
2024-06-01T00:00:56Z,cpu.pct,host-c,94.895
2024-06-01T00:00:57Z,cpu.pct,host-a,7.032
2024-06-01T00:00:58Z,cache.evictions,host-c,37.623
2024-06-01T00:00:59Z,mem.pct,host-c,95.547
2024-06-01T00:01:00Z,mem.pct,host-a,47.415
2024-06-01T00:01:01Z,mem.pct,host-b,99.310
2024-06-01T00:01:02Z,mem.pct,host-a,48.383
2024-06-01T00:01:03Z,cpu.pct,host-b,10.219
2024-06-01T00:01:04Z,cache.evictions,host-c,26.476
2024-06-01T00:01:05Z,cpu.pct,host-a,51.633
2024-06-01T00:01:06Z,cache.evictions,host-c,36.175
2024-06-01T00:01:07Z,cache.evictions,host-c,91.415
2024-06-01T00:01:08Z,mem.pct,host-a,97.850
2024-06-01T00:01:09Z,cache.evictions,host-c,84.545
2024-06-01T00:01:10Z,mem.pct,host-b,90.826
2024-06-01T00:01:11Z,cpu.pct,host-c,53.259
2024-06-01T00:01:12Z,cache.evictions,host-c,63.644
2024-06-01T00:01:13Z,mem.pct,host-b,80.608
